snr,machine,id,condition,file,path
+6db,slider,id_00,abnormal,00000000.wav,E:\+6db/slider/id_00/abnormal/00000000.wav
+6db,slider,id_00,abnormal,00000001.wav,E:\+6db/slider/id_00/abnormal/00000001.wav
+6db,slider,id_00,abnormal,00000002.wav,E:\+6db/slider/id_00/abnormal/00000002.wav
+6db,slider,id_00,abnormal,00000003.wav,E:\+6db/slider/id_00/abnormal/00000003.wav
+6db,slider,id_00,abnormal,00000004.wav,E:\+6db/slider/id_00/abnormal/00000004.wav
+6db,slider,id_00,abnormal,00000005.wav,E:\+6db/slider/id_00/abnormal/00000005.wav
+6db,slider,id_00,abnormal,00000006.wav,E:\+6db/slider/id_00/abnormal/00000006.wav
+6db,slider,id_00,abnormal,00000007.wav,E:\+6db/slider/id_00/abnormal/00000007.wav
+6db,slider,id_00,abnormal,00000008.wav,E:\+6db/slider/id_00/abnormal/00000008.wav
+6db,slider,id_00,abnormal,00000009.wav,E:\+6db/slider/id_00/abnormal/00000009.wav
+6db,slider,id_00,abnormal,00000010.wav,E:\+6db/slider/id_00/abnormal/00000010.wav
+6db,slider,id_00,abnormal,00000011.wav,E:\+6db/slider/id_00/abnormal/00000011.wav
+6db,slider,id_00,abnormal,00000012.wav,E:\+6db/slider/id_00/abnormal/00000012.wav
+6db,slider,id_00,abnormal,00000013.wav,E:\+6db/slider/id_00/abnormal/00000013.wav
+6db,slider,id_00,abnormal,00000014.wav,E:\+6db/slider/id_00/abnormal/00000014.wav
+6db,slider,id_00,abnormal,00000015.wav,E:\+6db/slider/id_00/abnormal/00000015.wav
+6db,slider,id_00,abnormal,00000016.wav,E:\+6db/slider/id_00/abnormal/00000016.wav
+6db,slider,id_00,abnormal,00000017.wav,E:\+6db/slider/id_00/abnormal/00000017.wav
+6db,slider,id_00,abnormal,00000018.wav,E:\+6db/slider/id_00/abnormal/00000018.wav
+6db,slider,id_00,abnormal,00000019.wav,E:\+6db/slider/id_00/abnormal/00000019.wav
+6db,slider,id_00,abnormal,00000020.wav,E:\+6db/slider/id_00/abnormal/00000020.wav
+6db,slider,id_00,abnormal,00000021.wav,E:\+6db/slider/id_00/abnormal/00000021.wav
+6db,slider,id_00,abnormal,00000022.wav,E:\+6db/slider/id_00/abnormal/00000022.wav
+6db,slider,id_00,abnormal,00000023.wav,E:\+6db/slider/id_00/abnormal/00000023.wav
+6db,slider,id_00,abnormal,00000024.wav,E:\+6db/slider/id_00/abnormal/00000024.wav
+6db,slider,id_00,abnormal,00000025.wav,E:\+6db/slider/id_00/abnormal/00000025.wav
+6db,slider,id_00,abnormal,00000026.wav,E:\+6db/slider/id_00/abnormal/00000026.wav
+6db,slider,id_00,abnormal,00000027.wav,E:\+6db/slider/id_00/abnormal/00000027.wav
+6db,slider,id_00,abnormal,00000028.wav,E:\+6db/slider/id_00/abnormal/00000028.wav
+6db,slider,id_00,abnormal,00000029.wav,E:\+6db/slider/id_00/abnormal/00000029.wav
+6db,slider,id_00,abnormal,00000030.wav,E:\+6db/slider/id_00/abnormal/00000030.wav
+6db,slider,id_00,abnormal,00000031.wav,E:\+6db/slider/id_00/abnormal/00000031.wav
+6db,slider,id_00,abnormal,00000032.wav,E:\+6db/slider/id_00/abnormal/00000032.wav
+6db,slider,id_00,abnormal,00000033.wav,E:\+6db/slider/id_00/abnormal/00000033.wav
+6db,slider,id_00,abnormal,00000034.wav,E:\+6db/slider/id_00/abnormal/00000034.wav
+6db,slider,id_00,abnormal,00000035.wav,E:\+6db/slider/id_00/abnormal/00000035.wav
+6db,slider,id_00,abnormal,00000036.wav,E:\+6db/slider/id_00/abnormal/00000036.wav
+6db,slider,id_00,abnormal,00000037.wav,E:\+6db/slider/id_00/abnormal/00000037.wav
+6db,slider,id_00,abnormal,00000038.wav,E:\+6db/slider/id_00/abnormal/00000038.wav
+6db,slider,id_00,abnormal,00000039.wav,E:\+6db/slider/id_00/abnormal/00000039.wav
+6db,slider,id_00,abnormal,00000040.wav,E:\+6db/slider/id_00/abnormal/00000040.wav
+6db,slider,id_00,abnormal,00000041.wav,E:\+6db/slider/id_00/abnormal/00000041.wav
+6db,slider,id_00,abnormal,00000042.wav,E:\+6db/slider/id_00/abnormal/00000042.wav
