,snr,machine,id,condition,file,path,y_array,ftt
0,+6b,valve,id_00,abnormal,00000000.wav,+6b/valve/id_00/abnormal/00000000.wav,"[ 0.00451279  0.00279236  0.00391388 ...  0.00117493 -0.00113678
 -0.00219727]","[[0.10276182]
 [0.07148115]
 [0.04411872]
 ...
 [0.00168671]
 [0.00291386]
 [0.00121233]]"
1,+6b,valve,id_00,abnormal,00000001.wav,+6b/valve/id_00/abnormal/00000001.wav,"[ 3.7002563e-04  1.0681152e-04 -9.9182129e-05 ... -1.6784668e-04
  3.0899048e-04  2.4414062e-04]","[[0.14174129]
 [0.13872011]
 [0.27935797]
 ...
 [0.00085961]
 [0.00255608]
 [0.00496489]]"
2,+6b,valve,id_00,abnormal,00000002.wav,+6b/valve/id_00/abnormal/00000002.wav,"[-0.00758362 -0.00966644  0.00662994 ...  0.0018158   0.00198364
  0.00103378]","[[0.05554869]
 [0.01257136]
 [0.05374653]
 ...
 [0.12460141]
 [0.12562695]
 [0.12414439]]"
3,+6b,valve,id_00,abnormal,00000003.wav,+6b/valve/id_00/abnormal/00000003.wav,"[ 0.0017395  -0.0006485  -0.00218582 ...  0.00129318  0.00063705
  0.00109863]","[[0.17135043]
 [0.22660634]
 [0.31277362]
 ...
 [0.00713684]
 [0.00511901]
 [0.0056282 ]]"
4,+6b,valve,id_00,abnormal,00000004.wav,+6b/valve/id_00/abnormal/00000004.wav,"[-0.00016785 -0.0004921  -0.00082016 ...  0.00224304  0.00150681
  0.00126266]","[[0.07338417]
 [0.10912853]
 [0.14096652]
 ...
 [0.00104028]
 [0.00025766]
 [0.00038892]]"
5,+6b,valve,id_00,abnormal,00000005.wav,+6b/valve/id_00/abnormal/00000005.wav,"[-0.00071716 -0.00050354 -0.00038528 ...  0.00053406 -0.00012589
 -0.00056458]","[[1.5836013e-02]
 [5.5051114e-02]
 [1.4046021e-01]
 ...
 [1.0151325e-03]
 [1.0171344e-04]
 [1.2779821e-03]]"
6,+6b,valve,id_00,abnormal,00000006.wav,+6b/valve/id_00/abnormal/00000006.wav,"[ 0.0025444   0.00204086  0.00207138 ... -0.00161743 -0.00147247
 -0.00086975]","[[1.3139439e-01]
 [1.8460180e-01]
 [1.3704021e-01]
 ...
 [1.5890963e-03]
 [9.5021655e-04]
 [3.1128991e-05]]"
7,+6b,valve,id_00,abnormal,00000007.wav,+6b/valve/id_00/abnormal/00000007.wav,[0.00156403 0.00143433 0.00019455 ... 0.00143433 0.00121307 0.00105667],"[[2.0585144e-01]
 [1.6227995e-01]
 [8.4654965e-02]
 ...
 [1.3591463e-05]
 [8.1244332e-04]
 [5.7610474e-04]]"
8,+6b,valve,id_00,abnormal,00000008.wav,+6b/valve/id_00/abnormal/00000008.wav,"[-2.5177002e-03 -1.7929077e-03 -2.0027161e-03 ...  7.4005127e-04
  1.9454956e-04 -4.9591064e-05]","[[0.07409719]
 [0.07425052]
 [0.05645706]
 ...
 [0.00228738]
 [0.00177319]
 [0.00343329]]"
9,+6b,valve,id_00,abnormal,00000009.wav,+6b/valve/id_00/abnormal/00000009.wav,"[-0.00074768 -0.00183868 -0.00250626 ... -0.00243759 -0.00268936
 -0.00416946]","[[2.6679665e-01]
 [1.4703085e-01]
 [1.3416234e-01]
 ...
 [6.3243788e-03]
 [3.5092921e-03]
 [2.0149528e-04]]"
