snr,machine,id,condition,file,path,waves_array
+6db,fan,id_00,abnormal,00000000.wav,E:\+6db/fan/id_00/abnormal/00000000.wav,[0.00167084 0.0031929  0.00431824 ... 0.00138474 0.00092316 0.00053406]
+6db,fan,id_00,abnormal,00000001.wav,E:\+6db/fan/id_00/abnormal/00000001.wav,"[ 0.00702286  0.00833893  0.01028061 ... -0.00831604 -0.00919342
 -0.01122284]"
+6db,fan,id_00,abnormal,00000002.wav,E:\+6db/fan/id_00/abnormal/00000002.wav,"[-0.01442337 -0.01402664 -0.01276779 ...  0.01117325  0.01171112
  0.01255798]"
+6db,fan,id_00,abnormal,00000003.wav,E:\+6db/fan/id_00/abnormal/00000003.wav,"[ 0.01392365  0.01430511  0.01403809 ... -0.0045166  -0.00627136
 -0.00734711]"
+6db,fan,id_00,abnormal,00000004.wav,E:\+6db/fan/id_00/abnormal/00000004.wav,"[-0.00661469 -0.00766754 -0.00801086 ... -0.00136566 -0.00092697
 -0.00064087]"
+6db,fan,id_00,abnormal,00000005.wav,E:\+6db/fan/id_00/abnormal/00000005.wav,"[ 0.00010681 -0.00016403  0.00032425 ... -0.01138687 -0.01136398
 -0.01171112]"
+6db,fan,id_00,abnormal,00000006.wav,E:\+6db/fan/id_00/abnormal/00000006.wav,"[-0.00990295 -0.01047134 -0.01059341 ...  0.0022316   0.00229263
  0.00242996]"
+6db,fan,id_00,abnormal,00000007.wav,E:\+6db/fan/id_00/abnormal/00000007.wav,"[-0.00030518  0.00091553  0.00209427 ... -0.00832748 -0.00838089
 -0.00884628]"
+6db,fan,id_00,abnormal,00000008.wav,E:\+6db/fan/id_00/abnormal/00000008.wav,"[-0.00986481 -0.01020813 -0.00997925 ...  0.01293182  0.01287079
  0.01316452]"
+6db,fan,id_00,abnormal,00000009.wav,E:\+6db/fan/id_00/abnormal/00000009.wav,"[ 0.01432037  0.0141449   0.01382065 ... -0.0145874  -0.01489258
 -0.01496124]"
+6db,fan,id_00,abnormal,00000010.wav,E:\+6db/fan/id_00/abnormal/00000010.wav,"[-0.01779175 -0.01709747 -0.01668167 ... -0.01135635 -0.01025391
 -0.0091629 ]"
