snr,machine,id,condition,file,path,waves_array
+6db,pump,id_00,abnormal,00000000.wav,E:\+6db/pump/id_00/abnormal/00000000.wav,"[ 0.00250244  0.00125885 -0.00177002 ... -0.001297    0.00061798
  0.00287247]"
+6db,pump,id_00,abnormal,00000001.wav,E:\+6db/pump/id_00/abnormal/00000001.wav,"[ 1.7509460e-03  5.7220459e-05  4.7302246e-04 ...  1.5716553e-03
 -1.4686584e-03 -3.0021667e-03]"
+6db,pump,id_00,abnormal,00000002.wav,E:\+6db/pump/id_00/abnormal/00000002.wav,"[-0.00572205 -0.00664902 -0.00777817 ...  0.00432205  0.00543594
  0.00623322]"
+6db,pump,id_00,abnormal,00000003.wav,E:\+6db/pump/id_00/abnormal/00000003.wav,"[ 0.00516129  0.00259018  0.00320816 ... -0.01342392 -0.01008987
 -0.01131439]"
+6db,pump,id_00,abnormal,00000004.wav,E:\+6db/pump/id_00/abnormal/00000004.wav,"[-0.01135635 -0.01205826 -0.00949097 ... -0.013134   -0.01023102
 -0.0042038 ]"
+6db,pump,id_00,abnormal,00000005.wav,E:\+6db/pump/id_00/abnormal/00000005.wav,"[-0.00467682  0.00054932  0.00720215 ... -0.00670624 -0.00252151
  0.00048065]"
+6db,pump,id_00,abnormal,00000006.wav,E:\+6db/pump/id_00/abnormal/00000006.wav,"[-0.00148392 -0.0011673   0.0002861  ... -0.03606415 -0.0437851
 -0.04400253]"
+6db,pump,id_00,abnormal,00000007.wav,E:\+6db/pump/id_00/abnormal/00000007.wav,"[-0.04698944 -0.05305862 -0.053936   ... -0.00149918  0.00227737
  0.01054764]"
+6db,pump,id_00,abnormal,00000008.wav,E:\+6db/pump/id_00/abnormal/00000008.wav,"[ 0.01086807  0.0075264   0.00629807 ... -0.00099945 -0.00458145
 -0.0076561 ]"
+6db,pump,id_00,abnormal,00000009.wav,E:\+6db/pump/id_00/abnormal/00000009.wav,"[-0.00721359 -0.01212692 -0.01527405 ... -0.01236725 -0.01023865
 -0.01447678]"
