snr,machine,id,condition,file,path,waves_array
+6db,slider,id_00,abnormal,00000000.wav,E:\+6db/slider/id_00/abnormal/00000000.wav,"[-0.00259399 -0.00421143 -0.00490189 ...  0.00548553 -0.00065994
 -0.00931549]"
+6db,slider,id_00,abnormal,00000001.wav,E:\+6db/slider/id_00/abnormal/00000001.wav,"[ 0.00527954  0.00460815  0.00110626 ... -0.0026474   0.00166321
  0.00185394]"
+6db,slider,id_00,abnormal,00000002.wav,E:\+6db/slider/id_00/abnormal/00000002.wav,"[-0.00017548  0.00020218 -0.00023651 ... -0.01063919 -0.01287079
 -0.00904083]"
+6db,slider,id_00,abnormal,00000003.wav,E:\+6db/slider/id_00/abnormal/00000003.wav,[0.00014496 0.00405884 0.00378036 ... 0.00333023 0.00325012 0.00245285]
+6db,slider,id_00,abnormal,00000004.wav,E:\+6db/slider/id_00/abnormal/00000004.wav,"[ 0.00617599  0.00488663  0.00348663 ... -0.01351929 -0.00971603
 -0.01018143]"
+6db,slider,id_00,abnormal,00000005.wav,E:\+6db/slider/id_00/abnormal/00000005.wav,[0.00505829 0.00430298 0.00489044 ... 0.00545883 0.00530243 0.00517654]
+6db,slider,id_00,abnormal,00000006.wav,E:\+6db/slider/id_00/abnormal/00000006.wav,"[-0.00074768 -0.00043106 -0.0009079  ... -0.01421356 -0.01865387
 -0.01348495]"
+6db,slider,id_00,abnormal,00000007.wav,E:\+6db/slider/id_00/abnormal/00000007.wav,[0.00622177 0.0093956  0.00807571 ... 0.00237656 0.00242233 0.00189209]
+6db,slider,id_00,abnormal,00000008.wav,E:\+6db/slider/id_00/abnormal/00000008.wav,"[ 0.01438904  0.01516342  0.01102066 ... -0.01480484 -0.01111221
 -0.01248169]"
+6db,slider,id_00,abnormal,00000009.wav,E:\+6db/slider/id_00/abnormal/00000009.wav,[0.01009369 0.00457764 0.00520325 ... 0.01040649 0.00601959 0.00857544]
+6db,slider,id_00,abnormal,00000010.wav,E:\+6db/slider/id_00/abnormal/00000010.wav,"[ 0.00305176  0.00977707  0.00091934 ... -0.02132416 -0.02200699
 -0.01743698]"
+6db,slider,id_00,abnormal,00000011.wav,E:\+6db/slider/id_00/abnormal/00000011.wav,"[ 0.01302719  0.00992966  0.01103592 ... -0.00511551 -0.00364685
 -0.0022583 ]"
+6db,slider,id_00,abnormal,00000012.wav,E:\+6db/slider/id_00/abnormal/00000012.wav,"[-0.00255966 -0.00257874 -0.00334167 ... -0.00030899 -0.00133133
 -0.00253677]"
+6db,slider,id_00,abnormal,00000013.wav,E:\+6db/slider/id_00/abnormal/00000013.wav,"[-1.1825562e-03  1.1444092e-05  4.9591064e-05 ...  1.0269165e-02
  6.1988831e-03  3.2844543e-03]"
+6db,slider,id_00,abnormal,00000014.wav,E:\+6db/slider/id_00/abnormal/00000014.wav,"[ 8.2015991e-04 -5.7220459e-05  1.9378662e-03 ... -6.3362122e-03
 -8.7394714e-03 -7.3890686e-03]"
+6db,slider,id_00,abnormal,00000015.wav,E:\+6db/slider/id_00/abnormal/00000015.wav,"[ 0.00086594  0.00159073  0.0032196  ... -0.00137711 -0.00200272
 -0.00265121]"
+6db,slider,id_00,abnormal,00000016.wav,E:\+6db/slider/id_00/abnormal/00000016.wav,"[ 0.00318146  0.00477982  0.00628281 ... -0.00520706 -0.00372696
 -0.00247574]"
+6db,slider,id_00,abnormal,00000017.wav,E:\+6db/slider/id_00/abnormal/00000017.wav,"[ 5.7220459e-05 -7.0571899e-04  9.9182129e-04 ... -4.9133301e-03
  2.2506714e-04  1.4343262e-03]"
+6db,slider,id_00,abnormal,00000018.wav,E:\+6db/slider/id_00/abnormal/00000018.wav,"[ 0.00630951  0.00500488  0.00791168 ... -0.00131989 -0.00162125
 -0.00207901]"
